Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 | Enable=0 | BuzzerOut=x
Time=3000 | Enable=0 | BuzzerOut=0
Time=100000 | Enable=1 | BuzzerOut=0
Time=199903000 | Enable=1 | BuzzerOut=1
Time=399710000 | Enable=1 | BuzzerOut=0
Time=599517000 | Enable=1 | BuzzerOut=1
Time=799323000 | Enable=1 | BuzzerOut=0
Time=999130000 | Enable=1 | BuzzerOut=1
Time=1198937000 | Enable=1 | BuzzerOut=0
Time=1398743000 | Enable=1 | BuzzerOut=1
Time=1598550000 | Enable=1 | BuzzerOut=0
Time=1798357000 | Enable=1 | BuzzerOut=1
Time=1998163000 | Enable=1 | BuzzerOut=0
Time=2197970000 | Enable=1 | BuzzerOut=1
Time=2397776000 | Enable=1 | BuzzerOut=0
Time=2597583000 | Enable=1 | BuzzerOut=1
Time=2797390000 | Enable=1 | BuzzerOut=0
Time=2997196000 | Enable=1 | BuzzerOut=1
Time=3197003000 | Enable=1 | BuzzerOut=0
Time=3396810000 | Enable=1 | BuzzerOut=1
Time=3596616000 | Enable=1 | BuzzerOut=0
Time=3796423000 | Enable=1 | BuzzerOut=1
Time=3996230000 | Enable=1 | BuzzerOut=0
Time=4196036000 | Enable=1 | BuzzerOut=1
Time=4395843000 | Enable=1 | BuzzerOut=0
Time=4595650000 | Enable=1 | BuzzerOut=1
Time=4795456000 | Enable=1 | BuzzerOut=0
Time=4995263000 | Enable=1 | BuzzerOut=1
Time=5195070000 | Enable=1 | BuzzerOut=0
Time=5394876000 | Enable=1 | BuzzerOut=1
Time=5594683000 | Enable=1 | BuzzerOut=0
Time=5794490000 | Enable=1 | BuzzerOut=1
Time=5994296000 | Enable=1 | BuzzerOut=0
Time=6194103000 | Enable=1 | BuzzerOut=1
Time=6393910000 | Enable=1 | BuzzerOut=0
Time=6593716000 | Enable=1 | BuzzerOut=1
Time=6793523000 | Enable=1 | BuzzerOut=0
Time=6993330000 | Enable=1 | BuzzerOut=1
Time=7193136000 | Enable=1 | BuzzerOut=0
Time=7392943000 | Enable=1 | BuzzerOut=1
Time=7592750000 | Enable=1 | BuzzerOut=0
Time=7792556000 | Enable=1 | BuzzerOut=1
Time=7992363000 | Enable=1 | BuzzerOut=0
Time=8192170000 | Enable=1 | BuzzerOut=1
Time=8391976000 | Enable=1 | BuzzerOut=0
Time=8591783000 | Enable=1 | BuzzerOut=1
Time=8791590000 | Enable=1 | BuzzerOut=0
Time=8991396000 | Enable=1 | BuzzerOut=1
Time=9191203000 | Enable=1 | BuzzerOut=0
Time=9391010000 | Enable=1 | BuzzerOut=1
Time=9590816000 | Enable=1 | BuzzerOut=0
Time=9790623000 | Enable=1 | BuzzerOut=1
Time=9990430000 | Enable=1 | BuzzerOut=0
$finish called at time : 10000100 ns : File "C:/Users/91702/Documents/Artix-7-Projects/BuzzerProject/Buzzer/Buzzer.srcs/sim_1/new/TestBench.v" Line 26
Time=10190236000 | Enable=1 | BuzzerOut=1
Time=10390043000 | Enable=1 | BuzzerOut=0
Time=10589850000 | Enable=1 | BuzzerOut=1
Time=10789656000 | Enable=1 | BuzzerOut=0
Time=10989463000 | Enable=1 | BuzzerOut=1
Time=11189270000 | Enable=1 | BuzzerOut=0
Time=11389076000 | Enable=1 | BuzzerOut=1
Time=11588883000 | Enable=1 | BuzzerOut=0
Time=11788690000 | Enable=1 | BuzzerOut=1
Time=11988496000 | Enable=1 | BuzzerOut=0
Time=12188303000 | Enable=1 | BuzzerOut=1
Time=12388109000 | Enable=1 | BuzzerOut=0
Time=12587916000 | Enable=1 | BuzzerOut=1
Time=12787723000 | Enable=1 | BuzzerOut=0
Time=12987529000 | Enable=1 | BuzzerOut=1
Time=13187336000 | Enable=1 | BuzzerOut=0
Time=13387143000 | Enable=1 | BuzzerOut=1
Time=13586949000 | Enable=1 | BuzzerOut=0
Time=13786756000 | Enable=1 | BuzzerOut=1
Time=13986563000 | Enable=1 | BuzzerOut=0
Time=14186369000 | Enable=1 | BuzzerOut=1
Time=14386176000 | Enable=1 | BuzzerOut=0
Time=14585983000 | Enable=1 | BuzzerOut=1
Time=14785789000 | Enable=1 | BuzzerOut=0
Time=14985596000 | Enable=1 | BuzzerOut=1
Time=15185403000 | Enable=1 | BuzzerOut=0
Time=15385209000 | Enable=1 | BuzzerOut=1
Time=15585016000 | Enable=1 | BuzzerOut=0
Time=15784823000 | Enable=1 | BuzzerOut=1
Time=15984629000 | Enable=1 | BuzzerOut=0
Time=16184436000 | Enable=1 | BuzzerOut=1
Time=16384243000 | Enable=1 | BuzzerOut=0
Time=16584049000 | Enable=1 | BuzzerOut=1
Time=16783856000 | Enable=1 | BuzzerOut=0
Time=16983663000 | Enable=1 | BuzzerOut=1
Time=17183469000 | Enable=1 | BuzzerOut=0
Time=17383276000 | Enable=1 | BuzzerOut=1
Time=17583083000 | Enable=1 | BuzzerOut=0
Time=17782889000 | Enable=1 | BuzzerOut=1
Time=17982696000 | Enable=1 | BuzzerOut=0
Time=18182503000 | Enable=1 | BuzzerOut=1
Time=18382309000 | Enable=1 | BuzzerOut=0
Time=18582116000 | Enable=1 | BuzzerOut=1
Time=18781923000 | Enable=1 | BuzzerOut=0
Time=18981729000 | Enable=1 | BuzzerOut=1
Time=19181536000 | Enable=1 | BuzzerOut=0
Time=19381343000 | Enable=1 | BuzzerOut=1
Time=19581149000 | Enable=1 | BuzzerOut=0
Time=19780956000 | Enable=1 | BuzzerOut=1
Time=19980763000 | Enable=1 | BuzzerOut=0
Time=20180569000 | Enable=1 | BuzzerOut=1
Time=20380376000 | Enable=1 | BuzzerOut=0
Time=20580183000 | Enable=1 | BuzzerOut=1
Time=20779989000 | Enable=1 | BuzzerOut=0
Time=20979796000 | Enable=1 | BuzzerOut=1
Time=21179603000 | Enable=1 | BuzzerOut=0
Time=21379409000 | Enable=1 | BuzzerOut=1
Time=21579216000 | Enable=1 | BuzzerOut=0
Time=21779023000 | Enable=1 | BuzzerOut=1
Time=21978829000 | Enable=1 | BuzzerOut=0
Time=22178636000 | Enable=1 | BuzzerOut=1
Time=22378442000 | Enable=1 | BuzzerOut=0
Time=22578249000 | Enable=1 | BuzzerOut=1
Time=22778056000 | Enable=1 | BuzzerOut=0
Time=22977862000 | Enable=1 | BuzzerOut=1
Time=23177669000 | Enable=1 | BuzzerOut=0
Time=23377476000 | Enable=1 | BuzzerOut=1
Time=23577282000 | Enable=1 | BuzzerOut=0
Time=23777089000 | Enable=1 | BuzzerOut=1
Time=23976896000 | Enable=1 | BuzzerOut=0
Time=24176702000 | Enable=1 | BuzzerOut=1
Time=24376509000 | Enable=1 | BuzzerOut=0
Time=24576316000 | Enable=1 | BuzzerOut=1
Time=24776122000 | Enable=1 | BuzzerOut=0
Time=24975929000 | Enable=1 | BuzzerOut=1
Time=25175736000 | Enable=1 | BuzzerOut=0
Time=25375542000 | Enable=1 | BuzzerOut=1
Time=25575349000 | Enable=1 | BuzzerOut=0
Time=25775156000 | Enable=1 | BuzzerOut=1
Time=25974962000 | Enable=1 | BuzzerOut=0
Time=26174769000 | Enable=1 | BuzzerOut=1
Time=26374576000 | Enable=1 | BuzzerOut=0
Time=26574382000 | Enable=1 | BuzzerOut=1
Time=26774189000 | Enable=1 | BuzzerOut=0
Time=26973996000 | Enable=1 | BuzzerOut=1
Time=27173802000 | Enable=1 | BuzzerOut=0
Time=27373609000 | Enable=1 | BuzzerOut=1
Time=27573416000 | Enable=1 | BuzzerOut=0
Time=27773222000 | Enable=1 | BuzzerOut=1
Time=27973029000 | Enable=1 | BuzzerOut=0
Time=28172836000 | Enable=1 | BuzzerOut=1
Time=28372642000 | Enable=1 | BuzzerOut=0
Time=28572449000 | Enable=1 | BuzzerOut=1
Time=28772256000 | Enable=1 | BuzzerOut=0
Time=28972062000 | Enable=1 | BuzzerOut=1
Time=29171869000 | Enable=1 | BuzzerOut=0
Time=29371676000 | Enable=1 | BuzzerOut=1
Time=29571482000 | Enable=1 | BuzzerOut=0
Time=29771289000 | Enable=1 | BuzzerOut=1
Time=29971096000 | Enable=1 | BuzzerOut=0
Time=30170902000 | Enable=1 | BuzzerOut=1
Time=30370709000 | Enable=1 | BuzzerOut=0
Time=30570516000 | Enable=1 | BuzzerOut=1
Time=30770322000 | Enable=1 | BuzzerOut=0
Time=30970129000 | Enable=1 | BuzzerOut=1
